Loc	N. Tweets
pennsylvania, usa	1
penn/pr	1
peniche, portugal	1
pelotas, brasil	1
pejezuela 🇲🇽	1
pejelandia no por mucho tiempo	1
país valenciano 	1
patzcuaro, michoacan mexico	1
patria grande 🇨🇱🇨🇴🇨🇺🇺🇾	1
pasto-nariño-colombia	1
pasto	1
pasaia, españa	1
partout et nulle part	1
parroquia san juan ccs	1
parras, coahuila de zaragoza	1
paralelos  36º -  42° 	1
paraguay .  	1
paracuellos de jarama, españa	1
panimávida, colbún, chile	1
panem	1
pandalandia 🐾	1
panamá, taboga	1
panama 	1
pamplona/iruña	1
pampanito-trujillo	1
palmyra	1
palmira, colombia	1
palma de mallorca	1
pallet town	1
palestina ocupada por israel 	1
pais vasco	1
pais valencià	1
pais del nunca jamas	1
padre hurtado, chile	1
pacific side	1
pabellón municipal de lugo 	1
ovalle, chile	1
ourense-galicia	1
osorno, chile	1
osorno chile	1
orizaba veracruz.	1
orgullosamente peruano 🇵🇪	1
orgrimar, kalimdor	1
omnipresente.	1
olvera(cádiz) españa	1
olmedo	1
oliva-denia	1
ojete	1
oberösterreich 	1
oaxaca. méxico	1
oaxaca, méxico 	1
oaxaca, mex.	1
oaxaca de juárez, oaxaca	1
oaxaca de juárez, oax. méxico	1
oaxaca corazón de méxico	1
oaxaca 	1
o porriño, españa	1
nunca jamas	1
nuevo leon mexico	1
nuevo leon 	1
nuevo laredo, méxico	1
nueva york	1
nuestra señora del rosario de baruta, venezuela	1
nuestra américa	1
norte de caracas.	1
nogales, sonora	1
nogales, az	1
nogales sonora mexico	1
no soy de aquí, ni soy de allá	1
no lo se	1
no 7 calle melancolía	1
niebo	1
new york, usa	1
new york, eeuu	1
new york	1
neiva, colombia	1
neiba, dominican republic	1
nederland	1
navolato, sinaloa	1
navia, españa	1
naucalpan, estado de méxico	1
naucalpan, edo. de mex. 	1
naucalpan méxico	1
naucalpan de juarez	1
national district, dominican r	1
narvarte oriente	1
napoli, campania	1
nankurunaisa	1
nación de andalucía 🟩⬜️🟩	1
n. l.  mx (no voté por samuel)	1
méxico🇲🇽	1
méxico|florida 	1
méxico...	1
méxico.  🇲🇽	1
méxico,d.f. 	1
méxico, sedienta cd. caótica	1
méxico, dónde más	1
méxico, d.f. 	1
méxico, d. f.	1
méxico, 	1
méxico 🇲🇽 	1
méxico | tenochtitlan	1
méxico lindo	1
méxico gro	1
méxico distrito federal	1
méxico de amlo	1
méxico d.f:	1
méxico d. f.	1
méxico  🇲🇽	1
méxicana 🇲🇽	1
mérida,yucatán, no🚫fachos	1
mérida	1
mèxico city	1
mèxico	1
más allá del muro. vk.	1
málaga. españa	1
málaga-melilla	1
málaga-madrid	1
málaga, andalucía 	1
málaga, andalucía	1
málaga | granada | jaén	1
málaga la bella.	1
málaga - spain	1
málaga , españa , europa 	1
mx; d.f. y a. metropolitana	1
mx	1
muy en el fondo	1
muy cerca de tu corazón.	1
muy arriba	1
musicalandia	1
muriedas	1
murcia/madrid/buenosaires	1
murcia-españa	1
municipio libertador	1
mundial.	1
mty	1
moyobamba, san martín 	1
morelos	1
morelia, michoacán, mexico	1
morelia, michoacán	1
morelia michoacan mexico	1
mordor. 🚜	1
moralzarzal	1
montijo, españa	1
montevideo  - uruguay	1
montes de málaga 	1
montería, colombia	1
monterrey,n.l.	1
monterrey,mexico	1
monterrey, nuevo león. méxico	1
monterrey, nuevo león, méxico.	1
monterrey, nuevo león, méxico	1
monterrey, nuevo león méxico.	1
monterrey, nl, mexico	1
monterrey, nl 	1
monterrey, n.l	1
monterrey, mexico	1
monterrey nuevo león	1
monterrey n.l.	1
monterrey mx🇲🇽	1
monterrey mexico	1
monterrey , nuevo leon	1
monterrey  nuevo york	1
montejo dl vega dl serrezuela	1
monistrol de montserrat 	1
monagas,maturin 	1
moca, provincia espaillat. rd	1
mmbi	1
mink cove, nova scotia	1
minatitlan ver.	1
minas gerais, brasil	1
milwaukee, wi	1
milpa alpa, cdmx	1
milky way	1
mijas, españa	1
miguel hidalgo, cdmx	1
michelandia	1
mi propio purgatorio	1
mi cuba 🇨🇺 💙	1
mi casa🔥	1
mexíco	1
mexico,d.f.	1
mexico, puebla	1
mexico, mo	1
mexico, df, coyoacan.	1
mexico, df	1
mexico, acapulco	1
mexico edo mex ixtapaluca	1
mexico d.f.puebla	1
mexico d.f. 	1
mexico 	1
mexicali, b.cfa.	1
mexicali	1
mexco, df	1
mex y  el pais del maple 	1
mex / milano, lombardia	1
mex - vzla	1
metropolitana de santiago	1
metropolis	1
metepec, méxico	1
metepec, estado de méxico.	1
merída edo merída. venezuela	1
merida, mexico	1
merida venezuela	1
melilla, españa	1
melbourne, australia	1
medina de pomar, españa	1
medellín 	1
medellin colombia	1
medellin (colombia)	1
medellin	1
mc allen texas, usa	1
mayabeque, cuba	1
mayabeque ❤️	1
mausoleo de papi augusto	1
maturin, venezuela	1
matera, basilicata	1
matanzas. cuba.	1
matanzas, cuba 	1
matanzas, cuba	1
matamoros, tamaulipas	1
matamoros de tamaulipas 	1
maspalomas gran  canaria	1
maryland, usa	1
martos, jaén.. andalucia ..esp	1
mario briceño iragorry, venezu	1
marche, italia	1
marbella, españa	1
maracay,venezuela	1
maracay . edo aragua	1
maracay	1
maracaibo. venezuela	1
maracaibo-venezuela	1
maracaibo- edo zulia venezuela	1
maracaibo y caracas/venezuela.	1
maracaibo venezuela	1
maracaibo	1
mar del plata, argentina	1
manhattan, ny	1
manchester, uk 	1
manchego por mis loles. 	1
managua, nicaragua	1
malecón carlos a. madrazo #677	1
malawian	1
malaga, españa	1
malaga	1
mairena del aljarafe	1
maipú, chile	1
maipu	1
madriguera	1
madrid. españa.	1
madrid-sanabria-reggio emilia	1
madrid, spain	1
madrid, reino de españa.	1
madrid, españa. 	1
madrid, españa.	1
madrid |granada |málaga 🇪🇸 	1
madrid y alrededores.	1
madrid / españa	1
madrid - nyc	1
madrid , capital de españa	1
madrid (vicálvaro) españa	1
madrid & cancún	1
made in sevilla	1
macuspana tabasco; méxico. 	1
macharaviaya, españa	1
machalí, chile	1
machala, el oro, ecuador	1
m.c.  3f, buenos aires 	1
m(e)	1
lópez cotilla #160	1
lérida, cataluña	1
lyon, france	1
luxembourg	1
lunargenta 	1
lugo-galiza	1
lugano, suiza	1
lugano	1
lp, argentina	1
los ángeles, chile	1
los pinos 	1
los cabos, querétaro	1
los cabos, baja california sur	1
los angeles, ca	1
lorca, región de murcia	1
lombardia, italia	1
lomas de zamora, argentina	1
loja, ecuador 	1
logroño	1
lleida, catalunya	1
lleida	1
liverpool #136 col. juárez	1
little rock, ar	1
litibu, riviera nayarit méxico	1
linares, españa	1
linares (jaen) 	1
lima peru	1
lima chorrillos	1
lima	1
liberty city,liberty state.	1
libertador san martín, er, arg	1
león, guanajuato, méxico	1
león, guanajuato méxico 	1
león guanajuato	1
levante español	1
leprosario - argentina	1
leon guanajuato mexico	1
leon	1
lejos de lazis y pijoprogres	1
lejos de la injusticia	1
lejano	1
leganés - españa	1
le dicen "la feliz"...🌊	1
latón #20	1
latinoamérica	1
las vegas, nv	1
las tunas, cuba	1
las tunas	1
las rozas de madrid	1
las palmas	1
las cabras, chile	1
laredo tx. 	1
laredo tx & sabinas hidalgo nl	1
lanzarote - canarias	1
laja, chile	1
laguna beach,la california	1
la unión, san rafael 	1
la sucursal del cielo	1
la safor - españa	1
la rumorosa b.c. méxico🇲🇽   	1
la romana,república dominicana	1
la rioja, capital,p d l ciudad	1
la región mas transparente	1
la pobla de vallbona	1
la plata, argentina	1
la paz, bcs	1
la paz, b. c. s.	1
la orotava, españa	1
la noria	1
la molina	1
la mancha	1
la magdalena contreras, distri	1
la luna, satélite de la tierra	1
la justicia y la razón 	1
la habana🇨🇺	1
la habana. cuba.	1
la habana.	1
la habana,cuba	1
la habana, cuba.	1
la habana cuba	1
la habana 	1
la grasa	1
la florida-santiago	1
la delgada línea amarilla	1
la coruña, galicia	1
la coruña	1
la ciudad de la furia	1
la ceja, antioquia	1
la ceiba, honduras 	1
la capital de to2 los cubanos	1
la atlántida	1
la asunción 	1
la araucanía, chile	1
la alcarria	1
la acebosa colindres cantabria	1
l	1
krakow, poland	1
km. 4 1/2 vía a la costa 	1
km 3.8 vía siberia-cota. #col	1
km 2.5 vía cota-chía rn21 cota	1
kingsport, tn	1
kaunas, lietuva	1
karabantxel	1
kaohsiung city, taiwan	1
kansas city, mo	1
kandy, sri lanka	1
juriquilla, qro, méxico	1
jupiter	1
junquito	1
jumping all over the world	1
juan racine 108 polanco cdmx	1
juan griego, isla de margarita	1
jr, guanajuato.	1
jonacatepec, morelos	1
jilotepec, méxico	1
jefa de despacho ccpc	1
jaén, españa	1
jaén	1
jardín américa, misiones	1
japan 🇯🇵 	1
japan	1
jamundí	1
ixtapaluca, méxico	1
ixmiquilpan, hgo.	1
italia	1
istanbul, türkiye 🇹🇷	1
israelcampos86@gmail.com	1
islas canarias, españa.	1
islas canarias	1
islas baleares, españa	1
isla de pascua - chile	1
isla de margarita, venezuela	1
irun - gipuzkoa	1
irapuato guanajuato mexico	1
iquique - chile	1
iphone: 33.6694600, -117.82311	1
involucrado	1
interlomas	1
insurgentes sur 670, del valle, benito juárez, cdmx, 03100	1
inferno personal	1
indomania 🏠	1
india	1
in the world!	1
imbabura, ecuador	1
iii república	1
iglesia santos de los 80's 🤘	1
ig @marulafuente	1
ibiza, baleares, españa 	1
ibiza(islas baleares)españa💝	1
ibiza	1
iberoamerica	1
ibagué, tolima	1
ibagué, colombia	1
i love green day & muse !! ^_^	1
hérault, languedoc-roussillon	1
huércal de almería, españa	1
hux	1
humanes de madrid	1
huixquilucan, méxico	1
huitzilan de serdán, puebla	1
huescar	1
huejutla #corazóndelahuasteca	1
huehuetoca, méxico	1
huaral - perú	1
http://cesarramospoesia.blogsp	1
houston, tx	1
hortaleza, madrid, españa 	1
honolulu	1
honey creek	1
hondarribia, españa	1
holguín, cuba	1
holguin	1
hogwarts	1
hispalis,  sevilla,  españa 	1
higüey república dominicana 	1
hermosillo, sonora, méxico	1
hermosillo, sonora, mx	1
hermosillo sonora 	1
hermosillo	1
heredia, costa rica	1
helsinki, finlandia	1
he/him	1
harare, zimbabue	1
habana, cuba	1
habana	1
gómez palacio, durango	1
gómez palacio	1
gustavo a. madero, huauchinang	1
gustavo a. madero	1
guaymas, sonora, méxico.	1
guayaquil, ecuador🇪🇨	1
guatemala, city	1
guatemala city 	1
guatemala 	1
guarolandia.	1
guarico	1
guarenas, edo miranda vzla	1
guantánamo, cuba	1
guanajuato, méxico.	1
guanabacoa	1
guadalupe, zacatecas	1
guadalupe nuevo león 	1
guadalajara- españa	1
guadalajara,jalisco 	1
guadalajara, jalisco, méxico	1
guadalajara, jal. méxico	1
guadalajara jalisco,méxico	1
guadalajara jalisco méxico 	1
grenade, espagne	1
greece	1
granollers, españa	1
granada, andalucía 	1
granada #millenialsdel2000	1
granada	1
gran vía, madrid 	1
gra l:pacheco	1
gora andaluzia askatuta 	1
gomez palacio durango mexico	1
godoy cruz, argentina	1
glasgow	1
girona, españa	1
girardot, colombia	1
gijón, principado de asturias	1
gijón, asturias, españa	1
gijón / xixón	1
gijón - asturias	1
getafe (madrid), españa	1
getafe (madrid)	1
gerona	1
germany 	1
general pico, la pampa. arg	1
general escobedo; nuevo león	1
gdl jalisco	1
garnata	1
garcía, nl	1
gandia	1
galiza	1
galicia, españa 	1
galego en canarias	1
galapagos, ecuador	1
galaecia no noroeste da iberia	1
físico. doctor en astrofisica.	1
fuente obejuna, españa	1
fuenlabrada, españa	1
fuenlabrada (madrid)	1
fuengirola (málaga)	1
fuengirola 	1
frontera colombia venezuela	1
fron canari aislands	1
fotoperiodismo en el 3ºplaneta	1
fortín, veracruz de ignacio de	1
floridablanca, santander	1
floridablanca, colombia	1
floridablanca - santander.	1
florida.uruguay	1
florida, usa🇵🇷	1
florida, usa ⭐	1
florida	1
firenze, toscana	1
figueras - españa	1
ferrol-galicia-españa	1
ferrol, españa	1
feliz con mis tres niños	1
farners de la selva	1
extremadura, spain	1
extremadura	1
explorando el universo	1
everywhere	1
euskadi, españa	1
eurovello	1
europe/portugal	1
europe	1
europa-america	1
europa del este 12:44	1
europa 	1
estremaúra ۞ 	1
estrella de belen 	1
estocolmo suecia.	1
estados unidos mexicanos	1
estado mexico	1
estado de méxico 	1
estado de mexico 	1
españistán norte	1
españa💙✝	1
españa✨	1
españa. spain. 	1
españa-galicia-doble español	1
españa-azuqueca de henares	1
españa,el mejor pais del mundo	1
españa, la coruña, madriles.	1
españa y el mundo	1
españa siempre!	1
españa - asturias - oviedo	1
españa (valladolid)	1
españa (pais de todos)	1
españa ((( ))) 	1
españa 	1
escuque, venezuela	1
escondido en algun lugar.	1
escondidititito	1
errenteria	1
erase una vez españa...	1
envigado, antioquia, colombia	1
entre tongoy y los vilos	1
entre libros📚y microscopios🔬	1
entre alicante y sevilla	1
entre alicante y ferrol ❤️❤️	1
en venezuela 	1
en utopía,en un país distópico	1
en un rincon del mundo	1
en un punto del infinito	1
en un mundo injusto.	1
en un mundo de letras.	1
en un lugar de la imperfección	1
en un lindo lugar	1
en tu ♥  x siempre :)	1
en tu corazón #seleneluna	1
en tu café, contando historias	1
en trance	1
en tol centro.	1
en todos lados	1
en todas partes y en ninguna.	1
en tierra, al sur	1
en su mirada y mi sonrrisa! 	1
en santiago de chile.	1
en ningun sitio 	1
en muy, muy lejano. 🙄	1
en mi luna	1
en mi imaginación 	1
en mi coche🚗, españa🇪🇸	1
en mi claustrósfera.	1
en mexico 	1
en lo de siempre. 	1
en las nuevas oportunidades..	1
en las nubes	1
en las antípodas del n.o.m.	1
en la tecnósfera	1
en la reina del plata	1
en la red	1
en la luna y ¡te castigaré!	1
en la ciudad de los palacios	1
en la chingada 	1
en er mundo como el pasodoble 	1
en el ❤ de tod@s y de nadie	1
en el tren a extremadura	1
en el templo del morbo 	1
en el quinto regimiento 	1
en el pántano 	1
en el pueblo	1
en el país de nunca jamás 	1
en el paraiso 	1
en el ombligo de la luna cdmx	1
en el mundo	1
en el mejor lugar del mundo🌏	1
en el maletero de la pili	1
en el gimnasio	1
en el fondo del bar	1
en el cyberespacio	1
en el corazón del continente.	1
en el centro del pais #redamlo	1
en el bernabeu	1
en el bater de mi kasa	1
en donde sea 	1
en cualquier lugar	1
en chilangoland	1
en algún sitio.	1
en algún lugar del mundo 🌈	1
en algún lugar de 🇲🇽	1
en algún lugar de la mancha...	1
en algún lugar de este país 	1
en algún café de este mundo❤😍	1
en algún bar de sevilla	1
en alguna parte del unverso 	1
en algun lugar de un gran país	1
en algun lugar 	1
elpaísmásbellodelmundo! 🇻🇪	1
elkhart, in	1
eldiario.es  pastafari	1
el rincón mas bello del mundo.	1
el reino de twister 	1
el puerto de santa maria	1
el prat de llobregat, españa	1
el planeta de los perdedores	1
el planeta	1
el paso, tx	1
el paraguas del consumidor	1
el palomar - bs.as.- argentina	1
el ombligo de la luna	1
el mundo mundial 	1
el mundo	1
el monte, ca	1
el monte	1
el llanito, caracas	1
el infierno	1
el hatillo caracas.	1
el ferrol del caudillo	1
el espino, la chorrera, panamá	1
el equipo de la capital💜🤍	1
el coño de la bernarda	1
el cairo, egipto	1
el bordo, cauca	1
el  sur de españa 	1
eivissa, españa	1
edtropolis 🐸🐸🐸	1
edomex, méxico	1
edomex 	1
edo. de méxico	1
eden	1
ecuador-guayaquil	1
ecuador - santo domingo	1
ecatepec de morelos, méxico	1
e madrid	1
dénia, españa	1
durango, méx.	1
durango, dgo.	1
dubai, united arab emirates	1
duat do nordeste 𓂀	1
dos hermanas, españa	1
donde?	1
donde pueda ser yo ✨	1
donde menos te esperas	1
donde me lleve el viento	1
donde la música me transporte	1
donde habite la tranquilidad. 	1
donde dios quiera que este	1
dominican republic 🇩🇴🇩🇴	1
doctores, cuauhtémoc	1
distrito federal unam	1
distrito federal	1
distrito capital, venezuela 	1
dinamita durango, méxico	1
diablo city	1
dfectuoso	1
df y edomex 🇲🇽	1
deutschland	1
detrás de tu	1
desierto de mesopotamia	1
depende	1
dentro de tu corazón	1
del merito veracruz	1
del meritito norte	1
dejame en paz	1
de madrid al cielo 	1
de los madriles	1
de junin bs as al mundo.	1
de aqui y de allá	1
ddhh	1
d622	1
d- 150	1
cúcuta, norte de santander	1
córdoba, argentina	1
cárdenas, tabasco	1
cáceres-madrid-sevilla 🇪🇸	1
cáceres, extremadura	1
curacavi chile	1
cun	1
cumana,venezuela	1
cumana - cuna del gran m. ayac	1
cuernavaca,morelos	1
cuernavaca, morelos, méxico	1
cuernavaca, morelos 	1
cuernavaca, mor.	1
cuernavaca, mexico	1
cuenca, españa	1
cuenca ecuador	1
cucuta	1
cubelo de sanabria 	1
cubelles, españa	1
cubano de todas partes🧏 🇨🇺	1
cubana al 💯	1
cuba.                 te sigue	1
cuba, holguin	1
cuba 🇨🇺	1
cuautla, mor. mexico, d.f	1
cuautitlan izcalli, mex.	1
cu	1
cto. centro comercial #2251	1
crítica al poder neoliberal 😎	1
costa tropical de granada	1
corrupcionlandia🇪🇸	1
corrientes, argentina 	1
corozal, colombia	1
cordoba- españa	1
corazón del kks ❤️	1
coquimbo, chile	1
constitucion	1
conocoto pichincha	1
confederación argentina	1
condorcet, chile	1
conde de tendillas, 21	1
concepción, chile	1
con una copa de vino 🍷	1
con el corazón en berlín	1
comunitat valenciana, españa	1
comunidad de madrid	1
colón, panamá	1
colorado, usa	1
colonia iulia romula hispalis	1
colombia🇨🇴	1
colombia, cali	1
colombia, bogotá.	1
colombia 🇨🇴	1
colombia ⚡	1
collipulli, chile	1
collado villalba	1
col. gral. anaya del. bj df	1
coatzacoalcos 	1
coatzacoalcos	1
coatepec, veracruz, mexico🇲🇽	1
coahuila de zaragoza	1
coacalco de berriozábal, méxico	1
cne	1
ciudadano del mundo	1
ciudadana del mundo worldwide	1
ciudad satélite	1
ciudad sagrada, #cholula	1
ciudad madero, tamaulipas	1
ciudad guayana,venezuela.	1
ciudad guayana / tumeremo	1
ciudad guadalupe, nl	1
ciudad de panamá	1
ciudad de méxico. 	1
ciudad de méxico, méxico	1
ciudad de méxico 💫	1
ciudad de méxico - barcelona 	1
ciudad de méxico  ❤️	1
ciudad de mexico, alcaldía bj	1
ciudad de la costa	1
ciudad de guatemala.	1
ciudad de guatemala	1
ciudad de córdoba 	1
ciudad de  méxico	1
circuito la concepción #3	1
cigales, españa	1
ciego de ávila, cuba	1
ciego de ávila esq. maceo	1
ciego de avila. cuba	1
cholula	1
chivacoa, edo yaracuy 	1
chile. 	1
chile,sudamérica	1
chile 	1
chilangolandia, mexico city	1
chihuahua, chih.	1
chiclayo, peru	1
chiclayo	1
chiautla, puebla	1
chetumal, quintana roo.	1
charallave, venezuela	1
chapinero	1
chamberí, madrid	1
cerro azul, veracruz de ignaci	1
cerdanyola del vallès, españa	1
cerca de tu corazón	1
centro,corazón edo.de la razon	1
centro, toreo & reforma, cdmx.	1
centro histórico	1
centro de salud	1
centro cultural bella época df	1
centro américa, el salvador 🇸	1
centro	1
central, paraguay	1
cdmx/toluca	1
cdmx.	1
cdmx-puebla	1
cdmx, méxico. 	1
cdmx, méxico.	1
cdmx   y/o  acapulco, gro	1
cd_mx	1
cd.victoria tamaulipas, mexico	1
cd. victoria tamaulipas	1
cd. obregón, sonora	1
cd. obregon, sonora	1
cd, méxico	1
ccs	1
cazorla, venezuela	1
cavendish, vt.	1
cauquenes	1
cauca, popayán	1
catarroja, españa	1
catalunya, españa	1
catalunya , una colònia esp.	1
catalonian republic	1
catalonia, yet spain	1
castillo de if.	1
castillo de cristal	1
castillo de baños	1
castilleja de la cuesta, españ	1
castilla-la mancha, españa	1
castilla, reino de españa	1
castilla, españa	1
castelar , buenos aires	1
casas grandes	1
cartagena	1
carrera 6 # 5- 43	1
carapachay-vicente lópez	1
caraiva y asociados	1
caracas/venezuela	1
caracas/ venezuela	1
caracas, venezuela🇻🇪	1
caracas ,venezuela 	1
carabanchel	1
cantabria.northspain.	1
canelas, durango	1
cancún, qroo	1
cancún, mexico	1
cancún, benito juárez	1
cancún centro, benito juárez	1
cancun q.roo. mexico	1
canary islands .spain	1
canarias-gran canaria	1
canarias	1
canals, régne de valéncia	1
canadá 	1
canadá	1
canada	1
campo de cartagena. murcia.  	1
campeche, méxico	1
campeche, campeche	1
camino a la libertad resistir 	1
cameroon	1
cambados, galiza 	1
camaleño, cantabria	1
camagüey, cuba	1
calle goya, 129, bajo. madrid	1
calle 5, no.9, los prados	1
calle 37  20-45. bogotá d.c	1
calle 26 # 51-53 bogotá	1
callao, peru	1
cali (valle)	1
caldas	1
calama, chile	1
calabozo guárico	1
cajamarca, peru	1
cagua 	1
cadi, cadi	1
cada día más cerca de tí 😘	1
caborca, sonora	1
cabo-pe	1
caba buenos aires-argentina	1
c/ pobla del duc, 8  valencia	1
c./ alderete nº 22 (29013)	1
bío-bío, chile	1
buñuel, navarra, 🇪🇸españa 	1
burton, mi	1
burjasot/valencia	1
bulgaria	1
buin, chile	1
buceando en el alma.	1
bucaramanga.santander.	1
bucaramanga colombia	1
bucaramanga 	1
bruxelles - madrid 	1
brownsville, tx.	1
brooklyn, ny	1
brentford, pcia. de bs. as.	1
braunau am inn, österreich	1
brains	1
boyacá-colombia	1
bowie, md	1
boston, ma	1
boston	1
bomba, musulmania	1
bolívar, venezuela	1
boliviana 	1
bogotá- colombia	1
bogotá, dc, colombia	1
bogotá, d.c., colombia🇨🇴	1
bogotá, d.c	1
bogotá, colombia, sur américa	1
bogotá, colombia 	1
bogotá dc - colombia	1
bogotano ciudadano del mundo	1
bogota- colombia	1
bogota d.c. (colombia)	1
bogota d.c	1
bogota 	1
boconó - guatire - san antonio	1
blvd. ruiz cortines no.1917	1
bizkaia	1
biscucuy, portuguesa, vzla	1
biscay, spain	1
birmingham, england	1
bielsko-biała, polska	1
benito juárez, quintana roo	1
benito juárez, cdmx	1
benasque/zaragoza	1
benalmádena, españa	1
belén de escobar, argentina	1
bello, colombia	1
bello	1
base naval punta indio	1
barranquilla/colombia	1
barranquilla - colombia	1
barquisimeto av. vzla. esq. 31	1
barquisimeto - venezuela 🇻🇪	1
barquisimeto	1
barinas, venezuela calle apure	1
barinas & guanare - venezuela	1
barcelona,españa	1
barcelona,catalunya,españa🇪🇸	1
barcelona, spain	1
barcelona, españa 🇪🇸	1
barcelona, cataluña, españa.	1
barcelona, catalunya 	1
barcelona españa	1
barcelona - world 	1
barcelona - spain	1
barcelona (spain)	1
barcelona (españa)	1
barcelona  y cantabria	1
barcelencia	1
barbate, españa	1
barbadian	1
barakaldo	1
bakio - labiano	1
baja california, méxico	1
baja california 200, cdmx	1
baix llobregat	1
baena, españa	1
baden-wurtemberg, alemania	1
badalona, españa.	1
badajoz, españa	1
badajoz	1
babilon5	1
aço no hi ha per on agarrar-ho	1
axapusco, méxico	1
avivamiento emmanuel venezuela	1
avilés, españa	1
aviles	1
aventura, fl	1
avenida pedro de valdivia 963	1
av. paseo de la reforma 199-9 	1
av. pagés llergo no.116	1
av. francisco de miranda	1
av. ciudad universitaria 286	1
auvergne france 💜💙	1
australia	1
aurora la bella illinois	1
atlixco, puebla, méxico	1
atlixco, puebla	1
atlixco	1
asuncion, paraguay	1
asuncion paraguay	1
asuncion - paraguay	1
asturias, principado de asturi	1
asturias	1
asturalia	1
artemisa cuba 	1
arround the world	1
around the world	1
around the corner	1
armenia quindio	1
argentina 💙🤍💙	1
arg	1
arequipa, peru	1
area 51	1
aranjuez, españa	1
aquí!!! ❤️	1
aquí y allá...	1
aquí y ahora.	1
aquí mismo, no me voy. 	1
aquí mero	1
aquí en mi casa	1
aquí  "toy " ツ ღ	1
aquiles serdán chihuahua.	1
aqui, en las germanias	1
aqui y ahora	1
aqui tenemos un color especial	1
apruebo	1
antofagasta, chile! 	1
anto domingo de guzmán, domini	1
anto domingo de guzmán	1
antequera ( málaga )	1
anonymous	1
animelandia♡	1
animalópolis-américa do sul	1
andorra 	1
andorra	1
andaluza y valenciana	1
andalucía, granada 🚀	1
ancud -chiloé 	1
anaco vzla	1
américa del sur	1
amsterdam, holanda	1
ampuriabrava, españa 🇪🇸	1
america latina	1
ambato, ecuador	1
ambato - ecuador	1
amazonas tierra mágica	1
amazonas	1
alzira	1
alto guadalquivir 	1
alosno (huelva)	1
almoloya de juarez	1
almería	1
almeria	1
almansa, albacete 📍	1
all roads of usa	1
alicante, comunidad valenciana	1
alicante (spain)	1
alhambra, ca	1
algún lugar del universo	1
algún lugar con libros	1
algeciras, españa	1
alfafar, valencia	1
alemania 	1
aldunate 1466, santiago, chile	1
alcoi (alacant)	1
alcalá de henares, madrid	1
alcaldía azcapotzalco, cdmx 	1
alamar, habana del este, cuba	1
alacant/alicante	1
al sur del cielo...	1
al sur de su ombligo 💛💙🇲🇽	1
al norte del sur	1
al lado de mi psicóloga	1
al fondo a la izquierda 	1
aguas frias para tomar	1
aguada, santander	1
agost, alicante	1
acá...en la capirucha!!	1
achuapa, guatemala. 🇬🇹	1
acarigua, venezuela	1
acapulco 🏖 méxico 🇲🇽	1
abarán, españa	1
a veces por aca'...	1
a un tweet de distancia	1
a coruña, galicia	1
a coruña, españa	1
a 37mil pies sobre el charco🌊	1
@regiondemurcia #españa	1
@lupe19781 instagram guayana 	1
@cuba	1
57400	1
49170 saint-georges-sur-loire,	1
3pa - norte de burgos	1
3a nube a la derecha.	1
3537 nw 82nd ave. doral, fl 	1
29607066	1
19°24'43.1"n 70°43'28.4"w	1
1997	1
1984	1
180103	1
17n23w54e99s 	1
100% cubano y fidelista. 	1
05/11/1605	1
...en la matria y en la patria	1
...aquí y ahora	1
...	1
-12.11, -76.98	1
#yoconpabloiglesias	1
#xalapa #perote #papantla	1
#tlaxcalitalabella	1
#terrorismonuncamás 	1
#puebla,#méxico. 	1
#paras	1
#mty @nuevoleón ♡ #méxico 	1
#inframundo 🔥	1
#cubaislabella 	1
#ciudadopulenta 	1
#cenpalab	1
#caracas, r.b venezuela 🇻🇪  	1
#camaguey, #cuba	1
#ams #tfb #ff #rt	1
#amloverdecorazon	1
 🤔no sé mucho,de casi nada	1
 📍orlando, fl	1
 🇻🇪	1
 ספרד  españa 	1
 valencia, venezuela	1
 valencia 🇪🇦	1
 usa	1
 un lugar llamado mundo	1
 planeta tierra 🌍🌏🌎	1
 palencia	1
 morelos	1
 malaga españa	1
 lat: 19.5586, long:-98.8958 	1
 gaza strip 🇵🇸 	1
 españa costa del sol	1
 españa 	1
 el universo.¡si se puede!💜💜	1
 cuba	1
 cienfuegos cuba	1
 centro derecha 100%	1
 cdmx	1
 caracas ~ venezuela	1
 canarias , españa	1
 agp - grx	1
 (cádiz)	1
  日本　japan　japón　 япония　일본	1
  ✨	1
  júpiter  🌞🎶⭐🌟✨🎶 💫	1
  el sarcasmo	1
   ♱ |  	1
